CdId,SMILES,Mol Weight,Formula,Source Identifier,Source,Overlap count,Overlap hits
"2,620",CN(C)CC(O)=O,103.12,C4H9NO2,NCGC00532505-01,NCATS,0,
"2,621",CCCCCCCCCCCCOC(=O)CS([O-])(=O)=O,307.43,C14H27O5S,NCGC00532506-01,NCATS,0,
"2,622",O=C(O[C@H]1[C@H](OC(=O)C2=CC=CN=C2)[C@@H](OC(=O)C2=CC=CN=C2)[C@H](OC(=O)C2=CC=CN=C2)[C@H](OC(=O)C2=CC=CN=C2)[C@@H]1OC(=O)C1=CC=CN=C1)C1=CN=CC=C1,810.73,C42H30N6O12,NCGC00532507-01,NCATS,0,
"2,623",CC(CC1=CC(C)=CC(N2N=C3C=CC=CC3=N2)=C1O)C[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,501.85,C24H39N3O3Si3,NCGC00532508-01,NCATS,0,
"2,624",CNCC(=O)OCC1=C(N=CC=C1)N(C)C(=O)OC(C)[N+]1=CN(C[C@@](O)([C@@H](C)C2=NC(=CS2)C2=CC=C(C=C2)C#N)C2=CC(F)=CC=C2F)N=C1,717.77,C35H35F2N8O5S,NCGC00532509-01,NCATS,1,Isavuconazonium
"2,625",CCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)COC(C)=O,460.57,C26H36O7,NCGC00532512-01,NCATS,0,
"2,626",CN1CC(O)C2=C\\C(=N\\NC(N)=N)C(=O)C=C12,235.25,C10H13N5O2,NCGC00532513-01,NCATS,0,
"2,627",CCC1=CC=C(NC2=C(F)C(F)=CC(F)=C2F)C(CC(O)=O)=C1,327.28,C16H13F4NO2,NCGC00532515-01,NCATS,0,
"2,628",CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,835.17,C20H28I3N3O9,NCGC00532516-01,NCATS,0,
"2,629",CNC1=C(C)C=C(C=N1)C1=CC=C2C(=O)C(=CN(C3CC3)C2=C1C)C(O)=O,363.42,C21H21N3O3,NCGC00532517-01,NCATS,0,
"2,630",CC1CCCC(C)N1C(=S)NC1=CC(=CC=C1)C(F)(F)F,316.39,C15H19F3N2S,NCGC00538144-01,NCATS,0,
"2,631",CN1C=C(OCC(O)CNC(C)(C)C)C2=C(C=CC=C2)C1=O,304.39,C17H24N2O3,NCGC00538146-01,NCATS,0,
"2,632",OCCN(CCO)CCOC(=O)C1=CC=CC=C1O,269.3,C13H19NO5,NCGC00538148-01,NCATS,0,
"2,633",OC(=O)C1CCC2=C1C=C(Cl)C(=C2)C1CCCCC1,278.78,C16H19ClO2,NCGC00538320-01,NCATS,0,
"2,634",[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1,591.72,C32H55BrN4O,NCGC00016507-05,NCATS,1,NCGC00016507-05
"2,635",CC1=CC(=CC=C1\\N=N\\C1=C(O)C2=C(C=C1)C(=CC(=C2N)S([O-])(=O)=O)S([O-])(=O)=O)C1=CC(C)=C(C=C1)\\N=N\\C1=C(O)C2=C(N)C(=CC(=C2C=C1)S([O-])(=O)=O)S([O-])(=O)=O,868.84,C34H24N6O14S4,NCGC00024822-03,NCATS,1,NCGC00024822-03
"2,636",[O-]C(=O)C1=C(C(Cl)=C(Cl)C(Cl)=C1Cl)C1=C2C=C(I)C(=O)C(I)=C2OC2=C1C=C(I)C([O-])=C2I,971.65,C20H2Cl4I4O5,NCGC00159508-04,NCATS,2,"NCGC00159508-04,NCGC00159508-05"
"2,637",OC1=CC(=CC(O)=C1O)C(=O)OC1=CC(=CC(O)=C1O)C(=O)OC[C@H]1O[C@@H](OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)[C@@H](OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)[C@@H]1OC(=O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1,"1,701.21",C76H52O46,NCGC00186054-01,NCATS,3,"NCGC00186054-01,NCGC00186054-01,CHEMBL506247"
"2,638",OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1,287.45,C19H29NO,NCGC00521081-01,NCATS,1,NCGC00521081-01
"2,639",OCC1O[C@@H](OC2=CC=CC3=C2C(=O)C2=C(O)C=C(C=C2[C@@H]3[C@H]2C3=CC(=CC(O)=C3C(=O)C3=C2C=CC=C3O[C@@H]2OC(CO)C(O)C(O)C2O)C(O)=O)C(O)=O)C(O)C(O)C1O,862.75,C42H38O20,NCGC00095095-04,NCATS,1,NCGC00095095-04
"2,640",CCCCCCCCCCCCCCCC1=C(C(O)=O)C(O)=CC=C1,348.53,C22H36O3,NCGC00263625-09,NCATS,1,NCGC00263625-09
"2,641",COC(=O)CC[C@@H](CC(=O)[C@H](CC(=O)OC)NC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)OC)C(=O)CF,667.68,C31H42FN3O12,NCGC00386403-01,NCATS,2,"NCGC00386403-01,NCGC00386403-01"
"2,642",ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)[N+]1=CN(CC(OCC2=C(Cl)C=C(Cl)C=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,652.24,C31H23Cl6N2O,NCGC00015233-07,NCATS,0,
"2,643",CC1=CC=C(C=C1NC(=O)C1=CC(NC(=O)NC2=CC(=CC=C2)C(=O)NC2=C(C)C=CC(=C2)C(=O)NC2=CC=C(C3=CC(=CC(=C23)[S+](O)([O-])=O)[S+](O)([O-])=O)[S+](O)([O-])=O)=CC=C1)C(=O)NC1=CC=C(C2=C1C(=CC(=C2)[S+](O)([O-])=O)[S+](O)([O-])=O)[S+](O)([O-])=O,"1,297.26",C51H40N6O23S6,NCGC00163318-03,NCATS,1,NCGC00163318-03
"2,644",CCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O,461.6,C25H39N3O5,NCGC00345815-02,NCATS,0,
"2,645",C([C@@H]1[C@]2(CCC(NC[C@H](OP(O[C@@H]3[C@H](O[C@@H]([C@@H]3O)N3C=[N]([Co+]456([N]7=C8C=C9[N]4=C(C(C)=C2N5[C@H]1[C@@]1([N]6=C(C(C)=C7[C@@](CC(N)=O)([C@@H]8CCC(N)=O)C)[C@H]([C@@]1(CC(N)=O)C)CCC(N)=O)C)[C@H](C9(C)C)CCC(N)=O)O)C1=C3C=C(C(=C1)C)C)CO)([O-])=O)C)=O)C)C(N)=O,"1,346.38",C62H89CoN13O15P,NCGC00346732-02,NCATS,2,"NCGC00346732-01,NCGC00346732-01"
"2,646",CC1=C(CSC2=CC=C(OCC(O)=O)C(C)=C2)SC(=N1)C1=CC=C(C(F)=C1)C(F)(F)F,471.48,C21H17F4NO3S2,NCGC00092344-07,NCATS,3,"NCGC00092344-05,NCGC00092344-07,NCGC00092344-05"
"2,647",CC1=NOC(N[S+]([O-])(=O)C2=CC=C(NC(=O)C3=C4C=C(C)C=C(C)C4=NC(=C3)C3=NC=CC=C3)C=C2)=C1C,527.6,C28H25N5O4S,NCGC00370745-03,NCATS,1,NCGC00370745-03
"2,648",CC1=C(CCC(O)=O)C(C)=C(N1)\\C=C1/C(=O)NC2=CC(=CC=C12)C1=CC=CC=C1,386.45,C24H22N2O3,NCGC00370874-01,NCATS,2,"CHEMBL149201,CHEMBL149201"
"2,649",CC(C)C(=O)C1=CN(CC(=O)COC2=CC=C(OC3=CC=CC=C3)C=C2)C2=C1C=C(C=C2)C(O)=O,471.51,C28H25NO6,NCGC00378619-01,NCATS,1,NCGC00378619-01
"2,650",C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CC=CC=C1)C(=O)CF,386.42,C21H23FN2O4,NCGC00386330-01,NCATS,2,"NCGC00386330-03,NCGC00386330-01"
"2,651",CC#C[C@@H](CC(O)=O)C1=CC=C(OCC2=CC(=CC=C2)C2=CC=C(C=C2)C(F)(F)F)C=C1,438.45,C26H21F3O3,NCGC00386948-01,NCATS,0,
"2,652",NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,253.27,C12H11N7,NCGC00016016-28,NCATS,4,"NCGC00016016-28,NCGC00016016-18,NCGC00016016-18,NCGC00016016-18"
"2,653",CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,705.64,C35H38Cl2N8O4,NCGC00018268-05,NCATS,4,"NCGC00018268-08,NCGC00018268-05,NCGC00018268-14,NCGC00018268-08"
"2,654",COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,738.89,C40H50N8O6,NCGC00346533-07,NCATS,5,"NCGC00346533-09,NCGC00346533-01,SHA-THE-408e7524-6,CHEMBL2023898,Daclatasvir"
"2,655",COC1=CC=C(NC(=O)C2=CC=C(C=C2)C(=N)N(C)C)C(=C1)C(=O)NC1=NC=C(Cl)C=C1,451.91,C23H22ClN5O3,NCGC00371122-02,NCATS,3,"NCGC00371122-02,NCGC00371122-04,Betrixaban"
"2,656",NC(=O)C1=NC(F)=CN=C1O,157.1,C5H4FN3O2,NCGC00373041-01,NCATS,10,"NCGC00373041-01,NCGC00373041-03,CHEMBL221722,CHEMBL221722,CHEMBL221722,CHEMBL221722,CHEMBL221722,CHEMBL221722,CHEMBL221722,Favipiravir (T-705)"
"2,657",C[S+]([O-])(=O)C1=CC=C(N=C1)C1=NN=C(\\C=C\\C2=NN=C(O2)C2=CC=C(C=C2)C#N)N1C1=C(Cl)C=CC=C1,529.96,C25H16ClN7O3S,NCGC00390587-03,NCATS,0,
"2,658",COC1=CC2=C(C=C1)C1=C(C3CCCCC3)C3=C(C=C(C=C3)C(=O)N[S+]([O-])(=O)N(C)C)N1C[C@]1(C[C@@H]21)C(=O)N1[C@H]2CC[C@@H]1CN(C)C2,659.85,C36H45N5O5S,NCGC00483024-01,NCATS,1,NCGC00483024-01
"2,659",COC1=CC=C2SC(NC(C3=CC=C(OC(F)F)C=C3)C3=CC=C4C=CC=NC4=C3O)=NC2=C1,479.5,C25H19F2N3O3S,NCGC00510794-01,NCATS,1,NCGC00510794-01
"2,660",COC[C@H]1C[C@H](N(C1)C(=O)[C@H](NC(=O)OC)C1=CC=CC=C1)C1=NC=C(N1)C1=CC=C2C(COC3=CC4=C(C=CC5=C4NC(=N5)[C@@H]4CC[C@H](C)N4C(=O)[C@@H](NC(=O)OC)C(C)C)C=C23)=C1,883.02,C49H54N8O8,NCGC00522503-02,NCATS,3,"NCGC00522503-02,NCGC00522503-01,Velpatasvir"
"2,661",OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CCN(CC(O)=O)CC(O)=O,393.35,C14H23N3O10,NCGC00015360-08,NCATS,3,"NCGC00015360-08,NCGC00015360-08,NCGC00015360-08"
"2,662",Nc1nc(N)c2nc(c(N)nc2n1)-c1ccccc1,253.27,C12H11N7,NCGC00016016-18,NCATS,4,"NCGC00016016-28,NCGC00016016-18,NCGC00016016-28,NCGC00016016-18"
"2,663",Cl.COC1=CC2=NC(=NC(N)=C2C=C1OC)N1CCN(CC1)C(=O)C1CCCO1,423.9,C19H26ClN5O4,NCGC00016026-10,NCATS,3,"NCGC00016026-10,NCGC00016026-10,NCGC00016026-10"
"2,664",CC1=CC(=O)Oc2cc(O)ccc12,176.17,C10H8O3,NCGC00016345-08,NCATS,5,"NCGC00016345-08,NCGC00016345-08,NCGC00016345-09,NCGC00016345-08,NCGC00016345-09"
"2,665",Oc1c(I)cc(Cl)c2cccnc12,305.5,C9H5ClINO,NCGC00016391-13,NCATS,3,"NCGC00016391-13,NCGC00016391-13,NCGC00016391-13"
"2,666",COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)c1ccco1,383.41,C19H21N5O4,NCGC00016740-18,NCATS,3,"NCGC00016740-18,NCGC00016740-18,Prazosin"
"2,667",Oc1c(I)cc(I)c2cccnc12,396.95,C9H5I2NO,NCGC00018098-07,NCATS,3,"NCGC00018098-07,NCGC00018098-07,NCGC00018098-07"
"2,668",NCCNCCNCCNCCN,189.31,C8H23N5,NCGC00090964-04,NCATS,3,"NCGC00090964-04,NCGC00090964-04,NCGC00090964-04"
"2,669",OC[C@H]1O[C@@H](OC2=C(O)C=C3OC(=O)C=CC3=C2)[C@H](O)[C@@H](O)[C@@H]1O,340.28,C15H16O9,NCGC00094874-05,NCATS,1,NCGC00094874-05
"2,670",Cl.COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C1CCCO1,425.91,C19H28ClN5O4,NCGC00095152-09,NCATS,2,"NCGC00095152-09,NCGC00095152-09"
"2,671",Oc1c(Cl)cc(Cl)c2cccnc12,214.05,C9H5Cl2NO,NCGC00095264-04,NCATS,4,"NCGC00095264-04,NCGC00095264-04,NCGC00095264-04,NCGC00095264-05"
"2,672",CC(C)C1CCC(C)CC1OC(=O)C1=CC=CC=C1N,275.39,C17H25NO2,NCGC00159361-06,NCATS,0,
"2,673",O=C(OOC(=O)c1ccccc1)c1ccccc1,242.23,C14H10O4,NCGC00159380-05,NCATS,3,"NCGC00159380-05,NCGC00159380-05,NCGC00159380-05"
"2,674",[Na+].[Na+].Oc1ccc(cc1S([O-])(=O)=O)C1(OC(=O)c2c1c(Br)c(Br)c(Br)c2Br)c1ccc(O)c(c1)S([O-])(=O)=O,837.99,C20H8Br4Na2O10S2,NCGC00159391-03,NCATS,2,"NCGC00159391-03,NCGC00159391-03"
"2,675",CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(O)=O,298.3,C16H14N2O4,NCGC00167472-03,NCATS,4,"NCGC00167472-02,NCGC00167472-03,NCGC00167472-02,NCGC00167472-03"
"2,676",CCOC(=O)c1ccc(nc1)C#Cc1ccc2SCCC(C)(C)c2c1,351.46,C21H21NO2S,NCGC00167525-02,NCATS,1,NCGC00167525-02
"2,677",[Cl-][Pt]1([Cl-])NCCN1,324.07,C2H6Cl2N2Pt,NCGC00178241-04,NCATS,2,"NCGC00178241-04,NCGC00178241-04"
"2,678",Cl.CCc1c2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)c2nc2ccc(OC(=O)N3CCC(CC3)N3CCCCC3)cc12,623.15,C33H39ClN4O6,NCGC00178697-04,NCATS,2,"NCGC00178697-04,NCGC00178697-04"
"2,679",Cl.C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c1cccc2ccccc12,393.88,C22H23ClF3N,NCGC00181002-04,NCATS,1,NCGC00181002-04
"2,680",CCN1\\C(SC2=C1C=CC=C2)=C\\C=C\\C=C\\C1=[N+](CC)C2=C(S1)C=CC=C2,391.57,C23H23N2S2,NCGC00181104-04,NCATS,1,NCGC00181104-04
"2,681",OS(O)(=O)=O.CC(O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c1nc(nc(N)c1C)C(CC(N)=O)NCC(N)C(N)=O)C(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1cncn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCCN[C@@H](C)c1ccccc1,"1,570.66",C61H89N18O25S3,NCGC00182036-01,NCATS,1,NCGC00182036-01
"2,682",Cl.CCOC(=O)COc1ccc2C(C)=C(CCN(CC)CC)C(=O)Oc2c1,397.9,C20H28ClNO5,NCGC00182973-01,NCATS,1,NCGC00182973-01
"2,683",OC(Cc1cnc2ccccn12)(P(O)(O)=O)P(O)(O)=O,322.15,C9H12N2O7P2,NCGC00183829-01,NCATS,1,NCGC00183829-01
"2,684",COc1ccnc2C(CCCCc12)S(=O)c1nc2ccccc2n1,340.42,C18H18N3O2S,NCGC00253591-01,NCATS,2,"NCGC00253591-01,NCGC00253591-01"
"2,685",CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=CC(F)=CC(N1)=C23,323.37,C19H18FN3O,NCGC00263173-09,NCATS,2,"NCGC00263173-09,NCGC00263173-03"
"2,686",CC[C@@H]1OC(OC(C(NC(=O)C2=NC(=NC(N)=C2C)C(CC(N)=O)NCC(N)C(N)=O)C(=O)NC(C)C(O)C(C)C(=O)NC(C(C)O)C(=O)NCCC2=NC(=CS2)C2=NC(=CS2)C(=O)NCCCCNC(N)=N)C2=CNC=N2)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]2O)[C@@H](C)[C@@H]1C,"1,419.60",C58H90N20O18S2,NCGC00263874-02,NCATS,1,NCGC00263874-02
"2,687",C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@@H](N)C(N)=O)C(O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)C1=CNC=N1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C,"1,415.55",C55H84N17O21S3,NCGC00346501-07,NCATS,1,NCGC00346501-07
"2,688",COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,738.89,C40H50N8O6,NCGC00346533-09,NCATS,5,"NCGC00346533-07,NCGC00346533-01,SHA-THE-408e7524-6,CHEMBL2023898,Daclatasvir"
"2,689",COC1=CC2=C(C=C1)N=C1CCCCC[C@@H]3C[C@H]3OC(=O)N[C@H](C(=O)N3C[C@@H](C[C@H]3C(=O)N[C@@]3(C[C@H]3C=C)C(=O)N[S+]([O-])(=O)C3CC3)OC1=N2)C(C)(C)C,766.91,C38H50N6O9S,NCGC00378916-02,NCATS,0,
"2,690",CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CO)C=C1)C=CC=C3,356.48,C20H24N2O2S,NCGC00016622-11,NCATS,1,NCGC00016622-11
"2,691",CC[C@H]1CN2CCC3=CC(OC)=C(OC)C=C3[C@@H]2C[C@@H]1C[C@H]1NCCC2=CC(OC)=C(OC)C=C12,480.65,C29H40N2O4,NCGC00024379-17,NCATS,7,"NCGC00024379-17,NCGC00024379-25,NCGC00024379-25,NCGC00024379-17,NCGC00024379-25,NCGC00024379-29,NCGC00024379-04"
"2,692",CC[C@H]1CN2CCC3=CC(OC)=C(OC)C=C3[C@@H]2C[C@@H]1C[C@H]1NCCC2=CC(OC)=C(OC)C=C12,480.65,C29H40N2O4,NCGC00024379-25,NCATS,7,"NCGC00024379-17,NCGC00024379-25,NCGC00024379-17,NCGC00024379-17,NCGC00024379-25,NCGC00024379-29,NCGC00024379-04"
"2,693",CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC1=CC=CC=C1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,567.79,C32H45N3O4S,NCGC00090782-17,NCATS,3,"NCGC00090782-17,NCGC00090782-07,CHEMBL584"
"2,694",CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C\\C=C(C)\\[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)\\C=C\\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,875.11,C48H74O14,NCGC00094047-16,NCATS,4,"NCGC00094047-16,NCGC00094047-16,NCGC00094047-16,NCGC00094047-10"
"2,695",Cl.O[C@H]([C@H]1CCCCN1)c1cc(nc2c(cccc12)C(F)(F)F)C(F)(F)F,414.78,C17H17ClF6N2O,NCGC00161831-04,NCATS,4,"NCGC00161831-04,NCGC00161831-04,NCGC00161831-04,NCGC00161831-04"
"2,696",O[C@H]1C=C2CCN3CC4=CC5=C(OCO5)C=C4[C@@H]([C@@H]23)[C@@H]1O,287.31,C16H17NO4,NCGC00163413-03,NCATS,3,"NCGC00163413-03,NCGC00163413-03,NCGC00163413-03"
"2,697",CC[C@H]1CN2CCC3=C(C=C(OC)C(OC)=C3)[C@@H]2C[C@@H]1C[C@H]1NCCC2=C1C=C(OC)C(O)=C2,466.62,C28H38N2O4,NCGC00180626-04,NCATS,1,NCGC00180626-04
"2,698",COC1=C(C)C2=C(C=C1)C(O[C@@H]1C[C@@H]3C(C1)C(=O)N(C)CCCC\\C=C/[C@@H]1C[C@]1(NC3=O)C(=O)N[S+]([O-])(=O)C1CC1)=CC(=N2)C1=NC(=CS1)C(C)C,749.94,C38H47N5O7S2,NCGC00378657-01,NCATS,3,"NCGC00378657-01,NCGC00378657-01,NCGC00378657-01"
"2,699",CC1=C(C(C)=NO1)C1=CC2=C(N=C(N=C2C=C1)C1=CN(CC(C)(C)O)N=C1)N1CCOC[C@@H]1C1=CC=CC=C1,524.63,C30H32N6O3,NCGC00483210-07,NCATS,1,NCGC00483210-07
"2,700",OC1=C(C2CCC(CC2)C2=CC=C(Cl)C=C2)C(=O)C2=C(C=CC=C2)C1=O,366.84,C22H19ClO3,NCGC00016961-11,NCATS,0,
"2,701",COC1=C(CC=C(C)C)C2=C(OC3=C(C(O)=C(CC=C(C)C)C(O)=C3)C2=O)C=C1O,410.47,C24H26O6,NCGC00017251-06,NCATS,1,NCGC00017251-06
"2,702",CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,705.64,C35H38Cl2N8O4,NCGC00018268-05,NCATS,4,"NCGC00018268-08,NCGC00018268-05,NCGC00018268-14,NCGC00018268-08"
"2,703",CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,304.54,C21H38N,NCGC00091023-07,NCATS,2,"NCGC00091023-07,NCGC00091023-07"
"2,704",CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C\\C=C(C)\\[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)\\C=C\\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,875.11,C48H74O14,NCGC00094047-16,NCATS,4,"NCGC00094047-16,NCGC00094047-16,NCGC00094047-16,NCGC00094047-10"
"2,705",NC1=C2C=CC=CC2=NC2=C1C=CC=C2,194.24,C13H10N2,NCGC00094857-06,NCATS,2,"NCGC00094857-06,CHEMBL43184"
"2,706",CC1=CC(NC2=CC(Cl)=CC=C2)=NC2=CC=C(NC(=O)CC3=CC=CC(=C3)C(F)(F)F)C=C12,469.89,C25H19ClF3N3O,NCGC00124402-01,NCATS,0,
"2,707",CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CC=CN=C3)=C2)CC1,493.62,C29H31N7O,NCGC00159456-12,NCATS,4,"NCGC00159456-06,CHEMBL941,CHEMBL941,Imatinib"
"2,708",ONC(=O)CCCCCN1C(=O)C2=CC=CC3=C2C(=CC=C3)C1=O,326.35,C18H18N2O4,NCGC00159564-05,NCATS,1,NCGC00159564-05
"2,709",COC1=CC2=C3C=C1OC1=C4OCOC4=CC4=C1[C@H](CC1=CC=C(OC5=C(OC)C=CC(C[C@H]3N(C)CC2)=C5)C=C1)N(C)CC4,606.72,C37H38N2O6,NCGC00161621-13,NCATS,11,"NCGC00161621-03,CHEMBL449782,CHEMBL449782,CHEMBL449782,CHEMBL449782,CHEMBL449782,CHEMBL449782,CHEMBL449782,CHEMBL449782,Cepharanthine,CHEMBL449782"
"2,710",CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O,475.63,C26H41N3O5,NCGC00161679-13,NCATS,8,"NCGC00161679-13,NCGC00161679-02,CHEMBL64925,CHEMBL64925,CHEMBL64925,CHEMBL64925,MG-132,MG-132"
"2,711",[Hg+]C1=CC=CC=C1,277.7,C6H5Hg,NCGC00161826-02,NCATS,1,NCGC00161826-02
"2,712",O[C@H]1C=C2CCN3CC4=CC5=C(OCO5)C=C4[C@@H]([C@@H]23)[C@@H]1O,287.31,C16H17NO4,NCGC00163413-03,NCATS,3,"NCGC00163413-03,NCGC00163413-03,NCGC00163413-03"
"2,713",CC[C@]1(CC[C@@H](O1)[C@]1(C)CCC2(C[C@H](O)[C@@H](C)[C@H](O2)[C@@H](C)[C@@H](OC)[C@H](C)C(O)=O)O1)[C@@H]1O[C@H](C[C@@H]1C)[C@H]1O[C@@](O)(CO)[C@H](C)C[C@@H]1C,670.88,C36H62O11,NCGC00163469-10,NCATS,2,"NCGC00163469-10,NCGC00163469-03"
"2,714",NC1=C2C=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,266.26,C11H14N4O4,NCGC00163638-01,NCATS,2,"NCGC00163638-01,CHEMBL267099"
"2,715",COC(=O)C[C@@](O)(CCC(C)(C)O)C(=O)O[C@H]1[C@@H]2C3=CC4=C(OCO4)C=C3CCN3CCC[C@]23C=C1OC,531.6,C28H37NO9,NCGC00163654-01,NCATS,5,"NCGC00163654-01,CHEMBL1565817,CHEMBL1565817,CHEMBL1565817,CHEMBL1565817"
"2,716",CC[C@H](C)[C@@H]1NC(=O)[C@H](CC2=CN(OC)C3=CC=CC=C23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]2CCCCN2C1=O,623.79,C34H49N5O6,NCGC00165733-10,NCATS,0,
"2,717",NC1=C(NC(=O)C2=CC=C(CNC(=O)OCC3=CC=CN=C3)C=C2)C=CC=C1,376.42,C21H20N4O3,NCGC00165833-11,NCATS,2,"NCGC00165833-11,NCGC00165833-10"
"2,718",ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1,264.32,C14H20N2O3,NCGC00168085-15,NCATS,4,"NCGC00168085-15,NCGC00168085-05,NCGC00168085-26,NCGC00168085-05"
"2,719",COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(C)=C(O)C(=O)C=C5[C@]4(C)CC[C@@]3(C)[C@@H]2C1,464.65,C30H40O4,NCGC00178090-03,NCATS,1,NCGC00178090-03
"2,720",CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@](C)(CC[C@]3(C)CC[C@]12C)C(O)=O,450.62,C29H38O4,NCGC00178913-14,NCATS,2,"NCGC00178913-14,NCGC00178913-11"
"2,721",CN(C)c1ccc2[n+](C)c(\\C=C/c3cc(C)n(c3C)-c3ccccc3)ccc2c1.Oc1c(cc2ccccc2c1Cc1c(O)c(cc2ccccc12)C([O-])=O)C([O-])=O,768.89,C49H42N3O6,NCGC00180911-03,NCATS,1,NCGC00180911-03
