CdId,SMILES,Mol Weight,Formula,Source Identifier,Source,Overlap count,Overlap hits,GroupID
3187,NCC1(CC(O)=O)CCCCC1,171.24,C9H17NO2,NCGC00015466-04,NCATS,4,"NCGC00015466-11,NCGC00015466-11,NCGC00015466-04,NCGC00015466-11",517
8855,NCC1(CC(O)=O)CCCCC1,171.24,C9H17NO2,NCGC00015466-04,NCATS,4,"NCGC00015466-11,NCGC00015466-04,NCGC00015466-11,NCGC00015466-11",517
823,NCC1(CC(O)=O)CCCCC1,171.24,C9H17NO2,NCGC00015466-11,NCATS,4,"NCGC00015466-04,NCGC00015466-11,NCGC00015466-04,NCGC00015466-11",517
3188,NCC1(CC(O)=O)CCCCC1,171.24,C9H17NO2,NCGC00015466-11,NCATS,4,"NCGC00015466-11,NCGC00015466-04,NCGC00015466-04,NCGC00015466-11",517
8856,NCC1(CC(O)=O)CCCCC1,171.24,C9H17NO2,NCGC00015466-11,NCATS,4,"NCGC00015466-11,NCGC00015466-04,NCGC00015466-11,NCGC00015466-04",517
824,COc1ccc(Cl)cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,494,C23H28ClN3O5S,NCGC00015467-20,NCATS,2,"NCGC00015467-20,NCGC00015467-20",518
3189,COc1ccc(Cl)cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,494,C23H28ClN3O5S,NCGC00015467-20,NCATS,2,"NCGC00015467-20,NCGC00015467-20",518
8857,COc1ccc(Cl)cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,494,C23H28ClN3O5S,NCGC00015467-20,NCATS,2,"NCGC00015467-20,NCGC00015467-20",518
825,Cl.NC(=N)NC(=O)Cc1c(Cl)cccc1Cl,282.55,C9H10Cl3N3O,NCGC00015469-09,NCATS,1,NCGC00015469-09,519
8858,Cl.NC(=N)NC(=O)Cc1c(Cl)cccc1Cl,282.55,C9H10Cl3N3O,NCGC00015469-09,NCATS,1,NCGC00015469-09,519
827,[I-].[I-].[I-].CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,891.54,C30H60I3N3O3,NCGC00015482-07,NCATS,2,"NCGC00015482-07,NCGC00015482-07",520
3195,[I-].[I-].[I-].CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,891.54,C30H60I3N3O3,NCGC00015482-07,NCATS,2,"NCGC00015482-07,NCGC00015482-07",520
8865,[I-].[I-].[I-].CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,891.54,C30H60I3N3O3,NCGC00015482-07,NCATS,2,"NCGC00015482-07,NCGC00015482-07",520
828,C[N+](C)(C)CCCCCC[N+](C)(C)C,202.38,C12H30N2,NCGC00015496-08,NCATS,2,"NCGC00015496-08,NCGC00015496-08",521
3196,C[N+](C)(C)CCCCCC[N+](C)(C)C,202.38,C12H30N2,NCGC00015496-08,NCATS,2,"NCGC00015496-08,NCGC00015496-08",521
8867,C[N+](C)(C)CCCCCC[N+](C)(C)C,202.38,C12H30N2,NCGC00015496-08,NCATS,2,"NCGC00015496-08,NCGC00015496-08",521
830,Cl.NNc1nncc2ccccc12,196.64,C8H9ClN4,NCGC00015501-09,NCATS,2,"NCGC00015501-09,NCGC00015501-09",522
3198,Cl.NNc1nncc2ccccc12,196.64,C8H9ClN4,NCGC00015501-09,NCATS,2,"NCGC00015501-09,NCGC00015501-09",522
8871,Cl.NNc1nncc2ccccc12,196.64,C8H9ClN4,NCGC00015501-09,NCATS,2,"NCGC00015501-09,NCGC00015501-09",522
17670,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,297.73,C7H8ClN3O4S2,Hydrochlorothiazide,Manual_curated,3,"NCGC00015508-16,NCGC00015508-16,NCGC00015508-16",523
831,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,297.73,C7H8ClN3O4S2,NCGC00015508-16,NCATS,3,"NCGC00015508-16,NCGC00015508-16,Hydrochlorothiazide",523
3200,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,297.73,C7H8ClN3O4S2,NCGC00015508-16,NCATS,3,"NCGC00015508-16,NCGC00015508-16,Hydrochlorothiazide",523
8873,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,297.73,C7H8ClN3O4S2,NCGC00015508-16,NCATS,3,"NCGC00015508-16,NCGC00015508-16,Hydrochlorothiazide",523
832,NCCc1cncn1,110.14,C5H8N3,NCGC00015513-11,NCATS,2,"NCGC00015513-11,NCGC00015513-11",524
3203,NCCc1cncn1,110.14,C5H8N3,NCGC00015513-11,NCATS,2,"NCGC00015513-11,NCGC00015513-11",524
8876,NCCc1cncn1,110.14,C5H8N3,NCGC00015513-11,NCATS,2,"NCGC00015513-11,NCGC00015513-11",524
834,Oc1ccc(O)cc1,110.11,C6H6O2,NCGC00015523-13,NCATS,2,"NCGC00015523-13,NCGC00015523-13",525
3206,Oc1ccc(O)cc1,110.11,C6H6O2,NCGC00015523-13,NCATS,2,"NCGC00015523-13,NCGC00015523-13",525
8880,Oc1ccc(O)cc1,110.11,C6H6O2,NCGC00015523-13,NCATS,2,"NCGC00015523-13,NCGC00015523-13",525
836,CC(C)C(=O)c1c(nn2ccccc12)C(C)C,230.31,C14H18N2O,NCGC00015542-07,NCATS,2,"NCGC00015542-07,NCGC00015542-07",526
3210,CC(C)C(=O)c1c(nn2ccccc12)C(C)C,230.31,C14H18N2O,NCGC00015542-07,NCATS,2,"NCGC00015542-07,NCGC00015542-07",526
8883,CC(C)C(=O)c1c(nn2ccccc12)C(C)C,230.31,C14H18N2O,NCGC00015542-07,NCATS,2,"NCGC00015542-07,NCGC00015542-07",526
838,CN(C)CCCN1c2ccccc2CCc2ccccc12,280.42,C19H24N2,NCGC00015563-13,NCATS,1,NCGC00015563-13,527
8888,CN(C)CCCN1c2ccccc2CCc2ccccc12,280.42,C19H24N2,NCGC00015563-13,NCATS,1,NCGC00015563-13,527
3214,CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1,254.28,C16H14O3,NCGC00015578-10,NCATS,4,"NCGC00015578-12,NCGC00015578-12,NCGC00015578-10,NCGC00015578-12",528
8891,CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1,254.28,C16H14O3,NCGC00015578-10,NCATS,4,"NCGC00015578-12,NCGC00015578-10,NCGC00015578-12,NCGC00015578-12",528
840,CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1,254.28,C16H14O3,NCGC00015578-12,NCATS,4,"NCGC00015578-10,NCGC00015578-12,NCGC00015578-10,NCGC00015578-12",528
3215,CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1,254.28,C16H14O3,NCGC00015578-12,NCATS,4,"NCGC00015578-12,NCGC00015578-10,NCGC00015578-10,NCGC00015578-12",528
8892,CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1,254.28,C16H14O3,NCGC00015578-12,NCATS,4,"NCGC00015578-12,NCGC00015578-10,NCGC00015578-12,NCGC00015578-10",528
841,CN1CCC(CC1)=C1c2ccsc2C(=O)Cc2ccccc12,309.43,C19H19NOS,NCGC00015580-13,NCATS,1,NCGC00015580-13,529
8893,CN1CCC(CC1)=C1c2ccsc2C(=O)Cc2ccccc12,309.43,C19H19NOS,NCGC00015580-13,NCATS,1,NCGC00015580-13,529
842,CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1,246.31,C15H18O3,NCGC00015594-09,NCATS,2,"NCGC00263577-01,NCGC00263577-01",530
6050,CC(C(O)=O)c1ccc(CC2CCCC2=O)cc1,246.31,C15H18O3,NCGC00263577-01,NCATS,2,"NCGC00015594-09,NCGC00263577-01",530
12264,CC(C(O)=O)c1ccc(CC2CCCC2=O)cc1,246.31,C15H18O3,NCGC00263577-01,NCATS,2,"NCGC00015594-09,NCGC00263577-01",530
17479,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,328.41,C19H24N2O3,Labetalol,Manual_curated,2,"NCGC00015595-14,NCGC00015595-12",531
3218,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,328.41,C19H24N2O3,NCGC00015595-12,NCATS,2,"NCGC00015595-14,Labetalol",531
843,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,328.41,C19H24N2O3,NCGC00015595-14,NCATS,2,"NCGC00015595-12,Labetalol",531
844,Cl.CCN1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,387.81,C17H20ClF2N3O3,NCGC00015603-08,NCATS,2,"NCGC00015603-08,NCGC00015603-08",532
3220,Cl.CCN1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,387.81,C17H20ClF2N3O3,NCGC00015603-08,NCATS,2,"NCGC00015603-08,NCGC00015603-08",532
8899,Cl.CCN1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,387.81,C17H20ClF2N3O3,NCGC00015603-08,NCATS,2,"NCGC00015603-08,NCGC00015603-08",532
845,Nc1nnc(c(N)n1)-c1cccc(Cl)c1Cl,256.09,C9H7Cl2N5,NCGC00015605-09,NCATS,4,"NCGC00015605-09,NCGC00015605-10,NCGC00015605-09,NCGC00015605-10",533
3221,Nc1nnc(c(N)n1)-c1cccc(Cl)c1Cl,256.09,C9H7Cl2N5,NCGC00015605-09,NCATS,4,"NCGC00015605-09,NCGC00015605-10,NCGC00015605-09,NCGC00015605-10",533
8900,Nc1nnc(c(N)n1)-c1cccc(Cl)c1Cl,256.09,C9H7Cl2N5,NCGC00015605-09,NCATS,4,"NCGC00015605-09,NCGC00015605-09,NCGC00015605-10,NCGC00015605-10",533
3222,NC1=NC(N)=C(N=N1)C1=CC=CC(Cl)=C1Cl,256.09,C9H7Cl2N5,NCGC00015605-10,NCATS,4,"NCGC00015605-09,NCGC00015605-09,NCGC00015605-09,NCGC00015605-10",533
8901,NC1=NC(N)=C(N=N1)C1=CC=CC(Cl)=C1Cl,256.09,C9H7Cl2N5,NCGC00015605-10,NCATS,4,"NCGC00015605-09,NCGC00015605-09,NCGC00015605-10,NCGC00015605-09",533
17232,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,270.21,C12H9F3N2O2,Leflunomide,HTIs,4,"NCGC00015610-17,NCGC00015610-17,NCGC00015610-18,Leflunomide",534
17682,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,270.21,C12H9F3N2O2,Leflunomide,Manual_curated,4,"NCGC00015610-17,NCGC00015610-17,NCGC00015610-18,Leflunomide",534
847,Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F,270.21,C12H9F3N2O2,NCGC00015610-17,NCATS,4,"NCGC00015610-17,NCGC00015610-18,Leflunomide,Leflunomide",534
8905,Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F,270.21,C12H9F3N2O2,NCGC00015610-17,NCATS,4,"NCGC00015610-17,NCGC00015610-18,Leflunomide,Leflunomide",534
8906,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,270.21,C12H9F3N2O2,NCGC00015610-18,NCATS,4,"NCGC00015610-17,NCGC00015610-17,Leflunomide,Leflunomide",534
849,CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)c1ccccc1,334.42,C18H26N2O4,NCGC00015623-10,NCATS,2,"NCGC00015623-10,NCGC00015623-10",535
3227,CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)c1ccccc1,334.42,C18H26N2O4,NCGC00015623-10,NCATS,2,"NCGC00015623-10,NCGC00015623-10",535
8913,CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)c1ccccc1,334.42,C18H26N2O4,NCGC00015623-10,NCATS,2,"NCGC00015623-10,NCGC00015623-10",535
850,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.8,C14H22ClN3O2,NCGC00015643-11,NCATS,3,"NCGC00015643-11,NCGC00015643-13,NCGC00015643-11",536
3228,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.8,C14H22ClN3O2,NCGC00015643-11,NCATS,3,"NCGC00015643-11,NCGC00015643-13,NCGC00015643-11",536
8914,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.8,C14H22ClN3O2,NCGC00015643-11,NCATS,3,"NCGC00015643-11,NCGC00015643-11,NCGC00015643-13",536
3229,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,299.8,C14H22ClN3O2,NCGC00015643-13,NCATS,3,"NCGC00015643-11,NCGC00015643-11,NCGC00015643-11",536
851,Cl.Cc1cnnc1,117.56,C4H6ClN2,NCGC00015646-05,NCATS,2,"NCGC00015646-05,NCGC00015646-05",537
3230,Cl.Cc1cnnc1,117.56,C4H6ClN2,NCGC00015646-05,NCATS,2,"NCGC00015646-05,NCGC00015646-05",537
8915,Cl.Cc1cnnc1,117.56,C4H6ClN2,NCGC00015646-05,NCATS,2,"NCGC00015646-05,NCGC00015646-05",537
3231,COC1=NC(C)=NC(Cl)=C1NC1=NCCN1,241.68,C9H12ClN5O,NCGC00015649-05,NCATS,4,"NCGC00015649-08,NCGC00015649-08,NCGC00015649-05,NCGC00015649-08",538
8917,COC1=NC(C)=NC(Cl)=C1NC1=NCCN1,241.68,C9H12ClN5O,NCGC00015649-05,NCATS,4,"NCGC00015649-08,NCGC00015649-05,NCGC00015649-08,NCGC00015649-08",538
852,COc1nc(C)nc(Cl)c1NC1=NCCN1,241.68,C9H12ClN5O,NCGC00015649-08,NCATS,4,"NCGC00015649-05,NCGC00015649-08,NCGC00015649-05,NCGC00015649-08",538
3232,COc1nc(C)nc(Cl)c1NC1=NCCN1,241.68,C9H12ClN5O,NCGC00015649-08,NCATS,4,"NCGC00015649-08,NCGC00015649-05,NCGC00015649-05,NCGC00015649-08",538
8918,COc1nc(C)nc(Cl)c1NC1=NCCN1,241.68,C9H12ClN5O,NCGC00015649-08,NCATS,4,"NCGC00015649-08,NCGC00015649-05,NCGC00015649-08,NCGC00015649-05",538
8920,CN1CCN2C(C1)c1ccccc1Cc1ccccc21,264.37,C18H20N2,NCGC00015656-06,NCATS,2,"NCGC00015656-12,NCGC00015656-12",539
853,CN1CCN2C(C1)c1ccccc1Cc1ccccc21,264.37,C18H20N2,NCGC00015656-12,NCATS,2,"NCGC00015656-06,NCGC00015656-12",539
8921,CN1CCN2C(C1)c1ccccc1Cc1ccccc21,264.37,C18H20N2,NCGC00015656-12,NCATS,2,"NCGC00015656-12,NCGC00015656-06",539
854,Cl.CC(N)COc1c(C)cccc1C,215.72,C11H18ClNO,NCGC00015659-14,NCATS,2,"NCGC00015659-14,NCGC00015659-14",540
3234,Cl.CC(N)COc1c(C)cccc1C,215.72,C11H18ClNO,NCGC00015659-14,NCATS,2,"NCGC00015659-14,NCGC00015659-14",540
8922,Cl.CC(N)COc1c(C)cccc1C,215.72,C11H18ClNO,NCGC00015659-14,NCATS,2,"NCGC00015659-14,NCGC00015659-14",540
855,CCOC(=O)[N-]c1c[n+](no1)N1CCOCC1,242.24,C9H14N4O4,NCGC00015661-12,NCATS,2,"NCGC00015661-12,NCGC00015661-12",541
3235,CCOC(=O)[N-]c1c[n+](no1)N1CCOCC1,242.24,C9H14N4O4,NCGC00015661-12,NCATS,2,"NCGC00015661-12,NCGC00015661-12",541
8923,CCOC(=O)[N-]c1c[n+](no1)N1CCOCC1,242.24,C9H14N4O4,NCGC00015661-12,NCATS,2,"NCGC00015661-12,NCGC00015661-12",541
3240,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-08,NCATS,10,"NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11",542
3241,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-08,NCATS,10,"NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11",542
3242,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-08,NCATS,10,"NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11",542
3243,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-08,NCATS,10,"NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11",542
8927,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-08,NCATS,10,"NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11",542
8928,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-08,NCATS,10,"NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11",542
8929,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-08,NCATS,10,"NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11",542
8930,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-08,NCATS,10,"NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11",542
857,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-11,NCATS,10,"NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11",542
3244,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-11,NCATS,10,"NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11",542
8931,CC1=C(C=C(C#N)C(=O)N1)c1ccncc1,211.22,C12H9N3O,NCGC00015675-11,NCATS,10,"NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-11,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08,NCGC00015675-08",542
858,Cl.CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C,315.84,C16H26ClNO3,NCGC00015678-10,NCATS,2,"NCGC00015678-10,NCGC00015678-10",543
3245,Cl.CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C,315.84,C16H26ClNO3,NCGC00015678-10,NCATS,2,"NCGC00015678-10,NCGC00015678-10",543
8932,Cl.CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C,315.84,C16H26ClNO3,NCGC00015678-10,NCATS,2,"NCGC00015678-10,NCGC00015678-10",543
859,COc1ccc2ncc(CCNC(C)=O)c2c1,231.28,C13H15N2O2,NCGC00015680-18,NCATS,1,NCGC00015680-18,544
3247,COc1ccc2ncc(CCNC(C)=O)c2c1,231.28,C13H15N2O2,NCGC00015680-18,NCATS,1,NCGC00015680-18,544
860,Cl.COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2cc(OC)c(OC)c(OC)c2)cc1OC,521.1,C28H41ClN2O5,NCGC00015686-11,NCATS,1,NCGC00015686-11,545
8935,Cl.COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2cc(OC)c(OC)c(OC)c2)cc1OC,521.1,C28H41ClN2O5,NCGC00015686-11,NCATS,1,NCGC00015686-11,545
861,Cl.NCCS,113.6,C2H8ClNS,NCGC00015691-06,NCATS,2,"NCGC00015691-06,NCGC00015691-06",546
3248,Cl.NCCS,113.6,C2H8ClNS,NCGC00015691-06,NCATS,2,"NCGC00015691-06,NCGC00015691-06",546
8936,Cl.NCCS,113.6,C2H8ClNS,NCGC00015691-06,NCATS,2,"NCGC00015691-06,NCGC00015691-06",546
863,C[C@](N)(Cc1ccc(O)cc1)C(O)=O,195.22,C10H13NO3,NCGC00015701-06,NCATS,2,"NCGC00015701-06,NCGC00015701-06",547
3250,C[C@](N)(Cc1ccc(O)cc1)C(O)=O,195.22,C10H13NO3,NCGC00015701-06,NCATS,2,"NCGC00015701-06,NCGC00015701-06",547
8938,C[C@](N)(Cc1ccc(O)cc1)C(O)=O,195.22,C10H13NO3,NCGC00015701-06,NCATS,2,"NCGC00015701-06,NCGC00015701-06",547
864,CNC1(C)C2CCC(C2)C1(C)C,167.3,C11H21N,NCGC00015703-06,NCATS,2,"NCGC00015703-06,NCGC00015703-06",548
3251,CNC1(C)C2CCC(C2)C1(C)C,167.3,C11H21N,NCGC00015703-06,NCATS,2,"NCGC00015703-06,NCGC00015703-06",548
8939,CNC1(C)C2CCC(C2)C1(C)C,167.3,C11H21N,NCGC00015703-06,NCATS,2,"NCGC00015703-06,NCGC00015703-06",548
865,Cl.CN(C)CCN(Cc1cccs1)c1ccccn1,297.85,C14H20ClN3S,NCGC00015704-09,NCATS,2,"NCGC00015704-09,NCGC00015704-09",549
3252,Cl.CN(C)CCN(Cc1cccs1)c1ccccn1,297.85,C14H20ClN3S,NCGC00015704-09,NCATS,2,"NCGC00015704-09,NCGC00015704-09",549
8940,Cl.CN(C)CCN(Cc1cccs1)c1ccccn1,297.85,C14H20ClN3S,NCGC00015704-09,NCATS,2,"NCGC00015704-09,NCGC00015704-09",549
17693,CC12CC3CC(C)(C1)CC(N)(C3)C2,179.31,C12H21N,Memantine,Manual_curated,5,"NCGC00015705-07,NCGC00015705-04,NCGC00015705-07,NCGC00015705-04,NCGC00015705-07",550
3253,CC12CC3CC(C)(C1)CC(N)(C3)C2,179.31,C12H21N,NCGC00015705-04,NCATS,5,"NCGC00015705-07,NCGC00015705-07,NCGC00015705-04,NCGC00015705-07,Memantine",550
8941,CC12CC3CC(C)(C1)CC(N)(C3)C2,179.31,C12H21N,NCGC00015705-04,NCATS,5,"NCGC00015705-07,NCGC00015705-04,NCGC00015705-07,NCGC00015705-07,Memantine",550
866,CC12CC3CC(C)(C1)CC(N)(C3)C2,179.31,C12H21N,NCGC00015705-07,NCATS,5,"NCGC00015705-04,NCGC00015705-07,NCGC00015705-04,NCGC00015705-07,Memantine",550
3254,CC12CC3CC(C)(C1)CC(N)(C3)C2,179.31,C12H21N,NCGC00015705-07,NCATS,5,"NCGC00015705-07,NCGC00015705-04,NCGC00015705-04,NCGC00015705-07,Memantine",550
8942,CC12CC3CC(C)(C1)CC(N)(C3)C2,179.31,C12H21N,NCGC00015705-07,NCATS,5,"NCGC00015705-07,NCGC00015705-04,NCGC00015705-07,NCGC00015705-04,Memantine",550
867,CNCCCC12CCC(c3ccccc13)c1ccccc21,277.41,C20H23N,NCGC00015708-15,NCATS,1,NCGC00015708-15,551
8943,CNCCCC12CCC(c3ccccc13)c1ccccc21,277.41,C20H23N,NCGC00015708-15,NCATS,1,NCGC00015708-15,551
868,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,299.41,C19H25NO2,NCGC00015716-09,NCATS,2,"NCGC00015716-09,NCGC00015716-09",552
3255,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,299.41,C19H25NO2,NCGC00015716-09,NCATS,2,"NCGC00015716-09,NCGC00015716-09",552
8947,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,299.41,C19H25NO2,NCGC00015716-09,NCATS,2,"NCGC00015716-09,NCGC00015716-09",552
869,CS(=O)(=O)Nc1ccc(cc1Oc1ccccc1)[N+]([O-])=O,308.31,C13H12N2O5S,NCGC00015725-15,NCATS,2,"NCGC00015725-15,NCGC00015725-15",553
3257,CS(=O)(=O)Nc1ccc(cc1Oc1ccccc1)[N+]([O-])=O,308.31,C13H12N2O5S,NCGC00015725-15,NCATS,2,"NCGC00015725-15,NCGC00015725-15",553
8952,CS(=O)(=O)Nc1ccc(cc1Oc1ccccc1)[N+]([O-])=O,308.31,C13H12N2O5S,NCGC00015725-15,NCATS,2,"NCGC00015725-15,NCGC00015725-15",553
870,[Br-].CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,303.2,C12H19BrN2O2,NCGC00015730-11,NCATS,2,"NCGC00015730-11,NCGC00015730-11",554
3260,[Br-].CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,303.2,C12H19BrN2O2,NCGC00015730-11,NCATS,2,"NCGC00015730-11,NCGC00015730-11",554
8956,[Br-].CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,303.2,C12H19BrN2O2,NCGC00015730-11,NCATS,2,"NCGC00015730-11,NCGC00015730-11",554
3262,CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,317.22,C12H10F3N3O4,NCGC00015754-15,NCATS,3,"NCGC00015754-16,NCGC00015754-15,NCGC00015754-16",555
8960,CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,317.22,C12H10F3N3O4,NCGC00015754-15,NCATS,3,"NCGC00015754-16,NCGC00015754-15,NCGC00015754-16",555
871,CC1(C)NC(=O)N(C1=O)c1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,317.22,C12H10F3N3O4,NCGC00015754-16,NCATS,3,"NCGC00015754-15,NCGC00015754-15,NCGC00015754-16",555
8961,CC1(C)NC(=O)N(C1=O)c1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,317.22,C12H10F3N3O4,NCGC00015754-16,NCATS,3,"NCGC00015754-16,NCGC00015754-15,NCGC00015754-15",555
872,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,272.69,C9H13ClN6O2,NCGC00015755-10,NCATS,2,"NCGC00015755-10,NCGC00015755-10",556
3263,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,272.69,C9H13ClN6O2,NCGC00015755-10,NCATS,2,"NCGC00015755-10,NCGC00015755-10",556
8962,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,272.69,C9H13ClN6O2,NCGC00015755-10,NCATS,2,"NCGC00015755-10,NCGC00015755-10",556
873,NCC(O)c1ccc(O)cc1,153.18,C8H11NO2,NCGC00015760-12,NCATS,2,"NCGC00015760-12,NCGC00015760-12",557
3264,NCC(O)c1ccc(O)cc1,153.18,C8H11NO2,NCGC00015760-12,NCATS,2,"NCGC00015760-12,NCGC00015760-12",557
8964,NCC(O)c1ccc(O)cc1,153.18,C8H11NO2,NCGC00015760-12,NCATS,2,"NCGC00015760-12,NCGC00015760-12",557
