CdId,SMILES,Mol Weight,Formula,Source Identifier,Source,Overlap count,Overlap hits,GroupID
2758,CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C\\C=C(C)\\[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)\\C=C\\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,875.11,C48H74O14,NCGC00094047-16,NCATS,4,"NCGC00094047-16,NCGC00094047-16,NCGC00094047-16,NCGC00094047-10",8
13,OCC1O[C@@H](OC2=CC=CC3=C2C(=O)C2=C(O)C=C(C=C2[C@@H]3[C@H]2C3=CC(=CC(O)=C3C(=O)C3=C2C=CC=C3O[C@@H]2OC(CO)C(O)C(O)C2O)C(O)=O)C(O)=O)C(O)C(O)C1O,862.75,C42H38O20,NCGC00095095-04,NCATS,1,NCGC00095095-04,9
2639,OCC1O[C@@H](OC2=CC=CC3=C2C(=O)C2=C(O)C=C(C=C2[C@@H]3[C@H]2C3=CC(=CC(O)=C3C(=O)C3=C2C=CC=C3O[C@@H]2OC(CO)C(O)C(O)C2O)C(O)=O)C(O)=O)C(O)C(O)C1O,862.75,C42H38O20,NCGC00095095-04,NCATS,1,NCGC00095095-04,9
14,CC1=COC2=C1C(=O)C(=O)C1=C2C=CC2=C1CCCC2(C)C,294.35,C19H18O3,NCGC00095709-02,NCATS,1,NCGC00095709-06,10
10288,CC1=COC2=C1C(=O)C(=O)C1=C2C=CC2=C1CCCC2(C)C,294.35,C19H18O3,NCGC00095709-06,NCATS,1,NCGC00095709-02,10
15984,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,288.3,C16H16O5,CHEMBL9470,ChEMBL,2,"NCGC00163489-05,Shikonin",11
15,CC(C)=CC[C@@H](O)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,288.3,C16H16O5,NCGC00163489-05,NCATS,2,"CHEMBL9470,Shikonin",11
17020,CC(C)=CC[C@@H](O)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,288.3,C16H16O5,Shikonin,VTIs,2,"NCGC00163489-05,CHEMBL9470",11
15972,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c(C)cccc12,278.31,C18H14O3,CHEMBL227075,ChEMBL,1,NCGC00163651-06,12
16,C[C@H]1COC2=C1C(=O)C(=O)C1=C2C=CC2=C1C=CC=C2C,278.31,C18H14O3,NCGC00163651-06,NCATS,1,CHEMBL227075,12
17054,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1,458.38,C22H18O11,EGCG,VTIs,1,NCGC00164319-07,13
18,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1,458.38,C22H18O11,NCGC00164319-07,NCATS,1,EGCG,13
